,PERIODO,IREG,UHE,RHS,PIVARM,PIAFL(1),PIAFL(2),PIAFL(3),PIAFL(4),PIAFL(5),PIAFL(6),PIAFL(7),PIAFL(8),PIAFL(9),PIAFL(10),PIAFL(11),PIAFL(12),PIGTAD(P1L1),PIGTAD(P1L2),PIGTAD(P2L1),PIGTAD(P2L2),PIGTAD(P3L1),PIGTAD(P3L2),PIMX_SAR,PIMX_VMN
28,6,1140000,228,0.0,-116.29835,-450.82822,135.96296,-53.02595,-27.48061,-26.18023,-20.4108,-16.71959,-16.37584,-14.71973,-9.0237,-7.31817,-7.72097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,6,1140000,229,0.0,-91.80399,-476.51439,69.12835,-35.52599,-13.23743,-20.75873,-1.84673,0.05286,-0.07791,-1.73329,-0.07505,-2.15656,-4.20199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,6,1140000,241,0.0,-479.85807,-769.90509,-1373.49631,-284.54541,-332.30771,-132.11412,-264.10852,-191.90285,-258.42499,-245.28359,-209.67398,-159.85322,-42.68614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,6,1140000,249,0.0,-266.26994,-246.83388,-57.97851,-56.60364,-39.4571,-61.86415,-55.59918,-38.97234,-47.3844,-54.89402,-43.13489,-24.12712,-12.13808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,6,1140000,251,0.0,-380.07437,-2716.82805,211.05207,-538.60398,-92.48712,-68.0238,-43.46374,19.87638,7.3772,-5.35696,-25.21302,-3.41201,-8.38034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,6,1140000,252,0.0,-238.71176,-1999.09575,120.49152,-6.25631,21.40067,-49.28517,-41.71672,-25.77689,-23.60573,-21.74231,-17.75915,-11.44509,-11.49186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,6,1140000,253,0.0,-193.49671,-631.10396,-61.32852,17.58144,-24.10715,-29.12811,-28.15754,-20.28511,-24.74546,-10.48706,-6.14676,-1.00314,-2.2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,6,1140000,260,0.0,-535.0853,-1788.66259,-1155.25634,-349.26886,-283.76101,-265.82448,-217.46346,-155.52457,-181.24072,-177.15885,-156.90015,-139.10352,-51.87024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6,1140000,261,0.0,-139.12743,-762.24414,46.91417,41.06663,-1.08944,-11.70394,-0.98402,-1.9533,-3.17898,-2.2163,-2.58117,-2.41923,-3.24163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,6,1140000,276,0.0,-64.94649,-390.5755,-91.35458,-77.34075,-34.53914,-17.43055,-13.71688,-11.08639,-3.46723,-6.17203,-4.49234,-11.029,-15.63118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
